Atom 1	Atom 2	x/a	y/b	z/c	d 1,2 [A]
	F2	0.54770	0.79490	0.94097	8.8164
	F1	1.48720	-0.47744	0.19726	8.8259
	F1	1.51280	0.47744	0.80274	8.8596
	F3	2.11876	1.25415	0.10004	8.9039
	F2	1.54770	1.79490	-0.05903	8.9665
	F1	0.48720	-0.47744	-0.80274	8.9869
	F3	-0.11876	-0.25415	0.89996	9.0070
	F2	0.54770	-0.20510	0.94097	9.0780
	F1	-0.48720	-0.52256	0.80274	9.2950
	F1	-0.51280	-1.47744	0.19726	9.3091
	F1	-0.48720	-1.52256	-0.19726	9.3393
	F1	1.51280	-0.52256	-0.19726	9.3456
	F3	0.88124	-0.25415	0.89996	9.3597
	F1	-0.51280	-0.47744	-0.80274	9.3817
	F3	-1.11876	-1.25415	-0.10004	9.3880
	F3	0.11876	0.25415	-0.89996	9.4121
	F2	0.54770	1.79490	-0.05903	9.4428
	F3	1.88124	1.74585	-0.10004	9.5534
	F2	0.45230	0.20510	1.05903	9.6090
	F2	0.45230	0.20510	-0.94097	9.6090
	F3	2.11876	0.25415	0.10004	9.6365
	F1	-0.48720	0.47744	0.80274	9.6371
	F1	1.51280	1.47744	0.80274	9.6730
	F3	-0.11876	0.74585	0.89996	9.7122
	F2	1.54770	0.79490	0.94097	9.8382
	F1	0.51280	1.47744	0.80274	9.8955
F3	F2	0.45230	0.20510	0.05903	2.1481
	F1	0.48720	0.52256	0.19726	2.1516
	F3	-0.11876	-0.25415	-0.10004	3.1585
	F2	-0.45230	-0.20510	-0.05903	3.4388
	F2	0.54770	0.79490	-0.05903	3.5874
	F1	0.51280	0.47744	-0.19726	3.6818
	F2	-0.54770	0.20510	0.05903	3.7895
	F3	-0.11876	0.74585	-0.10004	4.3258
	F1	-0.51280	-0.47744	0.19726	4.4806
	F3	0.88124	0.74585	-0.10004	4.6897
	F2	0.54770	-0.20510	-0.05903	4.6921
	F1	-0.51280	0.52256	0.19726	4.7436
	F1	-0.48720	-0.52256	-0.19726	4.9768
	F1	-0.48720	0.47744	-0.19726	5.1750
	F2	0.45230	1.20510	0.05903	5.1764
	F2	-0.54770	-0.79490	0.05903	5.6849
	F1	0.48720	-0.47744	0.19726	5.8090
	F2	-0.45230	0.79490	-0.05903	5.8498
	F3	-0.88124	0.25415	0.10004	5.8633
	F3	1.11876	0.25415	0.10004	5.8633
	F3	0.11876	-0.74585	0.10004	5.9866
	F3	0.11876	1.25415	0.10004	5.9866
	F3	1.11876	1.25415	0.10004	6.2190
	F3	-0.88124	-0.74585	0.10004	6.2190
	F1	0.51280	-0.52256	-0.19726	6.5639
	F3	-1.11876	-0.25415	-0.10004	6.6265
	F3	0.88124	-0.25415	-0.10004	6.6932
	F1	0.48720	1.52256	0.19726	6.8697
	F1	0.51280	0.47744	0.80274	6.8900
	F2	0.45230	-0.79490	0.05903	7.3561
	F2	1.45230	1.20510	0.05903	7.3664
	F1	1.48720	0.52256	0.19726	7.4507
